Name,Incantation,Book1,Book2,Book3,Book4,Book5,Book6,Book7
Stunning Spell,Stupefy,,,,10.0,11.0,1.0,21
Killing Curse,Avada Kedavra,,,,9.0,2.0,6.0,18
Apparition,None,2.0,2.0,8.0,9.0,14.0,34.0,17
Summoning Charm,Accio,,,,15.0,11.0,3.0,15
Shield Charm,Protego,,,,2.0,6.0,4.0,13
Imperius Curse,Imperio,,,,18.0,9.0,9.0,9
Disarming Charm,Expelliarmus,,4.0,4.0,3.0,8.0,2.0,8
Cruciatus Curse,Crucio,,,,15.0,7.0,3.0,7
Fidelius Charm,Unknown,,,1.0,,,,6
Wand-Lighting Charm,Lumos,,2.0,4.0,3.0,3.0,3.0,6
Disillusionment Charm,Unknown,,,,,3.0,1.0,5
Severing Charm,Diffindo,,,,2.0,1.0,1.0,4
Water-Making Spell,Aguamenti,,,,,,14.0,4
Water-Making Spell,Aguamenti,,,,,,14.0,4
Muffliato Charm,Muffliato ,,,,,,3.0,4
Revulsion Jinx,Relashio,,,,1.0,,1.0,4
Taboo,Unknown,,,,,,,4
Dark Mark,Morsmordre,,,,28.0,1.0,14.0,4
Blasting Curse,Confringo,,,,,,,3
Hover Charm,Unknown,,1.0,,,1.0,1.0,3
Patronus Charm,Expecto Patronum,,,1.0,,6.0,,3
Caterwauling Charm,Unknown,,,,,,,3
Confundus Charm,Confundo,,,1.0,1.0,,,2
Levitation Charm,Wingardium Leviosa,3.0,,,,1.0,,2
Tergeo,Tergeo,,,,,,1.0,2
Descendo,Descendo,,,,,,,2
General Counter-Spell,Finite,,1.0,,,1.0,,2
Meteolojinx Recanto,Meteolojinx Recanto,,,,,,,2
Mending Charm,Reparo,,,,1.0,3.0,4.0,2
Stinging Jinx,Unknown,,,,,,,2
Stinging Jinx,Unknown,,,,,,,2
Fiendfyre,Unknown,,,,,,,2
Impediment Jinx,Impedimenta,,,,3.0,9.0,3.0,1
Sectumsempra,Sectumsempra,,,,,,6.0,1
Extension Charm,Capacious extremis,,,,,,,1
Expulso Curse,Expulso,,,,,,,1
Full Body-Bind Curse,Petrificus Totalus,1.0,,,,2.0,5.0,1
Memory Charm,Obliviate ,,5.0,,2.0,,,1
Tongue-Tying Curse,Mimblewimble,1.0,,,,,,1
Permanent Sticking Charm,Unknown,,,,,3.0,,1
Unlocking Charm,Alohomora,2.0,,1.0,,4.0,1.0,1
Impervius Charm,Impervius ,,,,,1.0,,1
Doubling Charm,Geminio,,,,,,,1
Muggle-Repelling Charm,Repello Muggletum,,,,,,,1
Erecto,Erecto,,,,,,,1
Obscuro,Obscuro,,,,,,,1
Engorgement Charm,Engorgio,,1.0,,1.0,,,1
Shrinking Charm,Reducio,,,,1.0,,,1
Bedazzling Hex,Unknown,,,,,,,1
Deprimo,Deprimo,,,,,,,1
Cushioning Charm,Molliare,,,,,,,1
Flagrante Curse,Flagrante,,,,,,,1
Levicorpus,Levicorpus,,,,,,5.0,1
Liberacorpus,Liberacorpus,,,,,,1.0,1
Gouging Spell,Defodio,,,,,,,1
Locomotion Charm,Locomotor,1.0,,,,2.0,,1
Piertotum Locomotor,Piertotum Locomotor,,,,,,,1
Glisseo,Glisseo,,,,,,,1
Hardening Charm,Duro,,,,,,,1
Wand-Extinguishing Charm,Nox,,,1.0,,,,1
Silencing Charm,Silencio,,,,,9.0,,1
Supersensory Charm,Unknown,,,,,,,1
